[2026-04-15T06:58:23.308Z] GET http://localhost:3001/ → 200 (56ms, ?B)
[2026-04-15T06:58:23.373Z] GET http://localhost:3001/_next/static/chunks/src_app_globals_0p2ml0n.css → pending (?ms, ?B)
[2026-04-15T06:58:23.373Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10z625~._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.373Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_compiled_next-devtools_index_0553esy.js → pending (?ms, ?B)
[2026-04-15T06:58:23.373Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_compiled_react-dom_058-ah~._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.373Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_0p3wegg._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.373Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_compiled_0rpq4pf._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.373Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.374Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_115brz8._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.374Z] GET http://localhost:3001/_next/static/chunks/node_modules_%40swc_helpers_cjs_0-4ujiy._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.374Z] GET http://localhost:3001/_next/static/chunks/_0rqeker._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.374Z] GET http://localhost:3001/_next/static/chunks/turbopack-_0p44nws._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.374Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_0z8ikg~._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.374Z] GET http://localhost:3001/_next/static/chunks/src_03wjav8._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.374Z] GET http://localhost:3001/_next/static/chunks/src_app_layout_tsx_004glpo._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.375Z] GET http://localhost:3001/_next/static/chunks/node_modules_klinecharts_dist_index_esm_10ec58z.js → pending (?ms, ?B)
[2026-04-15T06:58:23.375Z] GET http://localhost:3001/_next/static/chunks/src_0-x6jak._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.375Z] GET http://localhost:3001/_next/static/chunks/node_modules_%40base-ui_react_esm_0mqc8n7._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.375Z] GET http://localhost:3001/_next/static/chunks/node_modules_tailwind-merge_dist_bundle-mjs_mjs_0ezz.e5._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.375Z] GET http://localhost:3001/_next/static/chunks/node_modules_07tdpf4._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.375Z] GET http://localhost:3001/_next/static/chunks/src_app_page_tsx_0vv9nku._.js → pending (?ms, ?B)
[2026-04-15T06:58:23.375Z] GET http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_0vv9nku.js → pending (?ms, ?B)
[2026-04-15T06:58:23.532Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_0yjw1oe._.js → 200 (34ms, 15615B)
[2026-04-15T06:58:23.532Z] GET http://localhost:3001/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_10mygs7._.js → 200 (34ms, 289B)
